Andromeda,Andromedae,daughter of Cepheus,And,,0h 34m,39° 15'
Antlia,Antilae,Air Pump,Ant,,10h 7m,-33° 21'
Apus,Apodus,Bird of Paradise,Aps,,16h 8m,-76° 35'
Aquarius,Aquarii,Water Bearer,Aqr,,22h 42m,-10° 28'
Aquila,Aquilae,Eagle,Aql,,19h 41m,3° 22'
Ara,Arae,Altar,Ara,,17h 14m,-51° 7'
Aries,Arietis,Ram,Ari,,2h 41m,22° 34'
Auriga,Aurigae,Charioteer,Aur,,5h 57m,42° 49'
Boötes,Boötis,Herdsman,Boo,,14h 41m,32° 20'
Caelum,Cali,Chisel,Cae,,4h 43m,-38° 10'
Camelopardalis,Camelopardalis,Giraffe,Cam,,6h 9m,71° 58'
Cancer,Cancri,Crab,Cnc,,8h 40m,22° 00'
Canes Venatici,Canem Venaticorum,Hunting Dogs,CVn,,13h 1m,42° 21'
Canis Major,Canis Majoris,Greater Dog,CMa,,6h 50m,-22° 19'
Canis Minor,Canis Minoris,Lesser Dog,CMi,,7h 37m,6° 46'
Capricornus,Capricorni,Goat,Cap,,21h 3m,-19° 21'
Carina,Carinae,Keel,Car,,8h 50m,-60° 30'
Cassiopeia,Cassiopeiae,Mother of Andromeda,Cas,,0h 52m,60° 18'
Centaurus,Centauri,Centaur,Cen,,12h 57m,-44° 0'
Cepheus,Cephei,King of Ethiopia,Cep,,22h 25m,72° 34'
Cetus,Ceti,Whale,Cet,,1h 43m,-6° 22'
Chamaeleon,Chamaeleontis,Chamaeleon,Cha,,12h 0m,-81° 1'
Circinus,Circini,Compasses,Cir,,14h 32m,-67° 18'
Columba,Columbae,Dove (Noah's Dove),Col,,5h 42m,-37° 55'
Coma Berenices,Comae Berenices,Berenice's Hair,Com,,12h 45m,22° 39'
Corona Australis,Coronae Australis,Southern Crown,CrA,,18h 39m,-41° 45'
Corona Borealis,Coronae Borealis,Northern Crown,CrB,,15h 53m,32° 38'
Corvus,Corvi,Crow,Crv,,12h 23m,-18° 38'
Crater,Crateris,Cup,Crt,,11h 21m,-13° 45'
Crux,Crucis,Cross (Southern Cross),Cru,,12h 29m,-60° 18'
Cygnus,Cygni,Swan or Northern Cross,Cyg,,20h 35m,44° 00'
Delphinus,Delphini,Dolphin (or Job's Coffin),Del,,20h 40m,12° 6'
Dorado,Doradus,Swordfish,Dor,,5h 20m,-63° 1'
Draco,Draconis,Dragon,Dra,,17h 57m,66° 4'
Equuleus,Equulei,Little Horse,Equ,,21h 15m,7° 56'
Eridanus,Eridani,River (Northern & Southern Streams),Eri,,3h 53m,-17° 59'
Fornax,Fornacis,Furnace,For,,2h 46m,-31° 00'
Gemini,Geminorum,Twins,Gem,,6h 51m,24° 49'
Grus,Gruis,Crane,Gru,,22h 27m,-45° 8'
Hercules,Herculis,Hercules,Her,,17h 26m,31° 14'
Horologium,Horlogii,Clock,Hor,,3h 13m,-52° 0'
Hydra,Hydrae,Water Monster,Hya,,9h 8m,-11° 41'
Hydrus,Hydri,Water Snake,Hyi,,2h 35m,-72° 55'
Indus,Indi,Indian,Ind,,21h 8m,-52° 19'
Lacerta,Lacertae,Lizard,Lac,,22h 31m,46° 40'
Leo,Leonis,Lion,Leo,,10h40m,17° 0'
Leo Minor,Leonis Minoris,Lesser Lion,LMi,,10h 19m,33° 14'
Lepus,Leporis,Hare,Lep,,5h 26m,-19° 39'
Libra,Librae,Balance,Lib,,15h 11m,-15° 33'
Lupus,Lupi,Wolf,Lup,,15h 23m,-42° 43'
Lynx,Lyncis,Lynx,Lyn,,7h 44m,47° 50'
Lyra,Lyrae,Lyre,Lyr,,18h 54m,40° 39'
Mensa,Mensae,Table,Men,,5h 30m,-79° 1'
Microscopium,Microscopii,Microscope,Mic,,20h 57m,-36° 48'
Monoceros,Monocerotis,Unicorn,Mon,,6h 58m,-3° 16'
Musca,Muscae,Fly,Mus,,12h 28m,-69° 8'
Norma,Normae,Square (and Rule),Nor,,16h 3m,-52° 43'
Octans,Octantis,Octant,Oct,,22h 10m,-84° 16'
Ophiuchus,Ophiuchi,Serpent Bearer,Oph,,17h 2m,-2° 21'
Orion,Orionis,Hunter,Ori,,5h 34m,3° 35'
Pavo,Pavonis,Peacock,Pav,,19h 10m,-65° 52'
Pegasus,Pegasi,Winged Horse,Peg,,22h 37m,19° 39'
Perseus,Persei,"Hero son of Zeus",Per,,3h 31m,44° 53'
Phoenix,Phoenicis,Phoenix,Phe,,0h 44m,-48° 46'
Pictor,Pictoris,Painter's Easel,Pic,,5h 23m,-51° 22'
Pisces,Piscium,Fishes (Northern & Western),Psc,,0h 53m,15° 29'
Piscis Australis,Piscis Austrini,Southern Fish,PsA,,22h 25m,-31° 34'
Puppis,Puppis,Stern (Poop),Pup,,7h 52m,-32° 37'
Pyxis,Pyxidis,Compass Box,Pyx,,8h 53m,-29° 47'
Reticulum,Reticuli,Net,Ret,,3h 54m,-60° 31'
Sagitta,Sagittae,Arrow,Sge,,19h 40m,17° 0'
Sagittarius,Sagittarii,Archer,Sgr,,19h 23m,-29° 53'
Scorpius,Scorpii,Scorpion,Sco,,16h 52m,-35° 20'
Sculptor,Sculptoris,Sculptor's Workshop,Scl,,0h 30m,-31° 00'
Scutum,Scuti,Shield (formerly Sobieski's Shield),Sct,,18h 39m,-10° 53'
Serpens Caput,Serpentis,Serpent's head,Ser,,15h 44m,10° 51'
Serpens Cauda,Serpentis,Serpent's tail,Ser,,17h 57m,-13° 29'
Sextans,Sextantis,Sextant,Sex,,10h 6m,-1° 8'
Taurus,Tauri,Bull,Tau,,4h 6m,17° 20'
Telescopium,Telescopii,Telescope,Tel,,19h 15m,-51° 28'
Triangulum,Trianguli,Triangle,Tri,,2h 3m,32° 20'
Triangulum Australe,Trianguli Australis,Southern Triangle,TrA,,16h 7m,-65° 6'
Tucana,Tucanae,Toucan,Tuc,,23h 50m,-64° 56'
Ursa Major,Ursae Majoris,"Great Bear (PloughBig DipperCharles' Wain)",UMa,,11h 20m,57° 30'
Ursa Minor,Ursae Minoris,Little Bear (Little Dipper),UMi,,14h 58m,75° 2'
Vela,Velorum,Sails,Vel,,9h 20m,-48° 29'
Virgo,Virginis,Virgin,Vir,,13h 21m,-3° 31'
Volans,Volantis,Flying Fish,Vol,,7h 40m,-69° 37'
Vulpecula,Vulpeculae,Fox ,Vul,,20h 22m,25° 2'
